Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,4DqtVXQMzFeXB4yu4gUScDTmAGbfXkHWiRVLAfimoMtfcvNEHhuLyuVZ58x1NhLYgaNnJDFN7WwAphQASw3ZEoUh,1691537062,2023-08-08T23:24:22,0.000016,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-2642.15,2642.15,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3D7zgLhtYcVdrWP5vFfdLh6MgmrU9sTvk6WmcVJ23XwWxFtfB3Si8iNyXxZqzNRGpg2J5p8KLxLEA12ZPQW1N4GD,1690958478,2023-08-02T06:41:18,0.000005,BU5dYAVCwVugb7TRC1hA17q1ksFVRuAS1SqHmk8iyNtw,inc,1,,1,7f1EncQZbkyCS92LGGMTsZEMUEPunaFDnPT1kcUNHVmG,Orсa,OINV,,,
TokenChange,2SVya8RcnSyprjKELxjmeoSeYWzrZUnLWjtcGAWQBmZAm9ZJWnr7YpUiSKdzYs7F6VHo6vLqp6eJN1KWBRqe6aUv,1690857113,2023-08-01T02:31:53,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2642.15,0,2642.15,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,Vrx8DSYwmhuF1zJFPjc3584cjEQ7dRp4NetyL14UTAQibXvDZPWSTeVPgdAiyUx7keuZWJkKhC4YbBWjKCX6Sin,1690586436,2023-07-28T23:20:36,0.000016,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-2450.14,2450.14,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2o8naNi7SRBzVcvEh3y5Y7XzSnr1iuYdHPDs195ANiUc8naZ9ZsKawR2SvcGwbLZFtGMoBYS6mhd6KVQopb5TcDP,1690343606,2023-07-26T03:53:26,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2450.14,0,2450.14,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2oDb3DBi97F1YZZTMABoiQ6tGPpr1gtHNkVnC8hp8XQpFuoBdvvxwvx4xEGDfkZrX4YDYkvhGrmaWmBhvKKuergA,1689720491,2023-07-18T22:48:11,0.000016,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-13041.07,13041.07,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3T76Svx7zXPbCUeutEySwMsuDddeFT6uM7ygCkPqWPSQp7HhnNhR1H1FCaoMuFLYBhpDKC7egFmQSNoKvxVZ8HTA,1689719384,2023-07-18T22:29:44,0.000027,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-600,13641.07,13041.07,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2h7oo6UGjaQzs2ubvyyvGGMHARPdgByPSEgXTBEvQZW1uz2kYVx2sLzAsGAXr2X2XaVHtbqykpEcbvjrDt9cc7DB,1689670749,2023-07-18T08:59:09,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2418,11223.07,13641.07,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4hB8Zxvi1SYZdPBwqQzK8W24UkkGSTG2LrNFENikEnwKT2namoPwYRGhxVs86rWyw1TZhPt62nvLCixrYASnoT5J,1689324264,2023-07-14T08:44:24,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,2681.52,8541.55,11223.07,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5pcXJtUkyHdNECQ8sij2PGrauKpv1XDbmvfHBj87zz4BkDdcY1fCdcnMdRJX62BDjs46cQhs88AwNmUZo7QWJju6,1688485747,2023-07-04T15:49:07,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2159.48,6382.07,8541.55,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3fEidU1yEuKNhRQ77Q2qB9jvsjsHWaJxGYEit5W7gm2rgvzrFDLxWWLHt4nDovvsxiUnWL27J9fEZpVqBz8gGUuE,1688215621,2023-07-01T12:47:01,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1745.22,4636.85,6382.07,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4JCpLjLLwLuds9mkeS7AFBRSfDhTqjHAFqXUyByJboNpRu1PfGYuWqZMreCw26kUZ1zKYPLzjacrvs5Y8fojdMhd,1687425006,2023-06-22T09:10:06,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1548.18,3088.67,4636.85,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3p4sU48aqRkWTK7wfjU7cago38zWXW6xFyiUtuCGrSRNqTBuCoRP6py8vHndyotcUJMV5D9xnFPLY5JA1h3wsPiz,1686640810,2023-06-13T07:20:10,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1246.42,1842.25,3088.67,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2Ue7MnTRKBoaSKLDEFDYbWSdArrbJPbH2kvfpkhfc7cHKKuHtvD51Jho3QagGjDV1X7VQvkEvb9gmwJ6R9YQ97mg,1686189369,2023-06-08T01:56:09,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,750.57,1091.68,1842.25,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,sNQoHBbskX51f3JoAKx4BhoSiT4FVe4FKLj7BULLv4ZdTqqt82trsCCtrQwxjGY9C84CKdHkLBPhjjjSYhAME2H,1686182043,2023-06-07T23:54:03,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,544.39,547.29,1091.68,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,osQxjaE4p6hdG9PuLAjYqx1LgpEJ7KacqxKr42kQUrYfgpgy2U3Ls7ipG6pSPGh6gLKHybMQL234486u3DoRAUC,1685012805,2023-05-25T11:06:45,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,547.29,0,547.29,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,21RBbjHnEBTAjcnq8CPuRxEM4cWjCnqAwb7MUy6j64ZsvAaaaGxDZTZunuK7FWKex7Jqp5GApwNZC2phTf2zV4RZ,1684692519,2023-05-21T18:08:39,0.000016,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-752.67,752.67,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4X9qXs34cFP6kFXZmuTmdkVTYAf28YZaDMX9sJVeY3LJ45LFCFfez46Wsb1Mmsw4idZ3mf51QxZ9furZWFTEtYf5,1684589638,2023-05-20T13:33:58,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,752.67,0,752.67,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3JwnVyfzwoh6Q33eSjddJqaJ8gYjZ5PFGiS7XcLPkVsxzrtcbSoD76ugV6Dm6MQnvsEU6oQwuSjV2BoV2k2avXMM,1683998990,2023-05-13T17:29:50,0.0000066,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,dec,-1445.03001,1445.03001,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5p686PJxwnSj5G6oEuwbsE1X9CGkg2S1urvwCDybzoLiYzk2BWSvmGwMa5ut1YUZgWaTGkspCKVarHFiMHNRXq9c,1683595493,2023-05-09T01:24:53,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1445.03,0.00001,1445.03001,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
