Type,                        Txhash,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        TokenAccount,                        ChangeType,                        SPL BalanceChange,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenName(off-chain),                        Symbol(off-chain),                        SolTransfer Source,                        SolTransfer Destination,                        Amount (SOL)
TokenChange,5xTnnsQyDxJrPSgWEAYMutXbELXPdA6T9LWoSpoRhfmnxhwnHCyCKQtd7D1WrAEyFnki982Ht2i7p6KxEmHX4qiZ,1694581262,2023-09-13T05:01:02,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1729.39,3162.98,4892.37,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,537Reey7TkydoeSoShG4o9JQi4dRnwpfHTFhzhhye9wXUxyXSc2iaRZ867Qo1UeWaiAd9tgY9AHAxjv5T9nTphdb,1693969281,2023-09-06T03:01:21,0.000005,G2YvvpvhAYCzEM6EazXVo87JR6jBsxcZvvnowJytu4Sb,inc,84.89,0,84.89,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,4bwM4vpyTd2EffBT8TcvsTgX4o31AFbV8yaawn9uBvoECEBm9dQPS6WCeWzFa57aAD6VLUawEif1mh1pqE8RbGLh,1693969358,2023-09-06T03:02:38,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1682.29,1480.69,3162.98,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,5tRoRpyPcS1hBhnnsnpdQZ1159gQKFSfWNoNRvR7VLenmjmo6EEsDxnrq65pbrGTHxJnB2Ahhdd2rVKmxTWixAeR,1693482416,2023-08-31T11:46:56,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1870.95,0,1870.95,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,3XeiRAYPxDw4exHBySJSZYe1NenktFuniDePyJMFpVNrW6VwVJuVXbggjPpx4nio5vJv2oy7Jcq6bkjXFpRczcdQ,1692707338,2023-08-22T12:28:58,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,1870.95,0,1870.95,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2uRF9T4hQiLRVqK9in2NQoBvKBYxkALgS8GTZ1hcBkwyqzhSGCSGv5VqfwkHGE87s3h7qgx9FdUGonvYHWCHuLvS,1692235410,2023-08-17T01:23:30,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2402.79,0,2402.79,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2L78gbK2iM8meL6ApFEyg5HYs3sf2vjVeA3PhB5rajafgGUATvACspTqLmmpJossxSNwRLHbjc5kenpvY6vmnve,1691801486,2023-08-12T00:51:26,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2259.24,0,2259.24,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2SVya8RcnSyprjKELxjmeoSeYWzrZUnLWjtcGAWQBmZAm9ZJWnr7YpUiSKdzYs7F6VHo6vLqp6eJN1KWBRqe6aUv,1690857113,2023-08-01T02:31:53,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2642.15,0,2642.15,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2o8naNi7SRBzVcvEh3y5Y7XzSnr1iuYdHPDs195ANiUc8naZ9ZsKawR2SvcGwbLZFtGMoBYS6mhd6KVQopb5TcDP,1690343606,2023-07-26T03:53:26,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2450.14,0,2450.14,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
TokenChange,2h7oo6UGjaQzs2ubvyyvGGMHARPdgByPSEgXTBEvQZW1uz2kYVx2sLzAsGAXr2X2XaVHtbqykpEcbvjrDt9cc7DB,1689670749,2023-07-18T08:59:09,0.000005,C1cZQvcPmtSYmeojZedqmjPtRN3qte2S4PuScFikmhkq,inc,2418,11223.07,13641.07,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,,,
